Sub-Category,Region,Sales,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Category,Product Name
Chairs,West,40.784,US-2018-139759,Standard Class,NL-18310,Nancy Lomonaco,Home Office,United States,Los Angeles,California,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray"
Chairs,West,41.568000000000005,CA-2019-137204,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Los Angeles,California,FUR-CH-10002304,Furniture,"Global Stack Chair without Arms, Black"
Chairs,West,42.624,US-2020-110604,Standard Class,JF-15295,Jason Fortune-,Consumer,United States,Seattle,Washington,FUR-CH-10002017,Furniture,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair
Chairs,West,47.968,CA-2019-109827,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Phoenix,Arizona,FUR-CH-10004754,Furniture,"Global Stack Chair with Arms, Black"
Chairs,West,48.712,CA-2017-156587,First Class,AB-10015,Aaron Bergman,Consumer,United States,Seattle,Washington,FUR-CH-10004477,Furniture,"Global Push Button Manager's Chair, Indigo"
Chairs,West,61.584,CA-2018-154970,Standard Class,SR-20740,Steven Roelle,Home Office,United States,Seattle,Washington,FUR-CH-10003396,Furniture,Global Deluxe Steno Chair
Chairs,West,63.93600000000001,CA-2018-137302,Standard Class,BW-11110,Bart Watters,Corporate,United States,San Diego,California,FUR-CH-10002017,Furniture,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair
Chairs,West,71.992,CA-2020-123491,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,FUR-CH-10003061,Furniture,"Global Leather Task Chair, Black"
Chairs,West,72.784,CA-2020-140186,First Class,PG-18820,Patrick Gardner,Consumer,United States,Bakersfield,California,FUR-CH-10002961,Furniture,"Leather Task Chair, Black"
Chairs,West,81.424,CA-2019-146325,First Class,DS-13180,David Smith,Corporate,United States,San Diego,California,FUR-CH-10001146,Furniture,"Global Task Chair, Black"
Chairs,West,81.424,US-2019-125969,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,FUR-CH-10001146,Furniture,"Global Task Chair, Black"
Chairs,West,81.568,CA-2020-137428,Second Class,AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray"
Chairs,West,83.13600000000001,CA-2019-151148,Same Day,PO-19180,Philisse Overcash,Home Office,United States,Louisville,Colorado,FUR-CH-10002304,Furniture,"Global Stack Chair without Arms, Black"
Chairs,West,97.18400000000001,CA-2020-137428,Second Class,AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,FUR-CH-10003817,Furniture,"Global Value Steno Chair, Gray"
Chairs,West,97.568,CA-2018-100146,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Camarillo,California,FUR-CH-10003833,Furniture,Novimex Fabric Task Chair
Chairs,West,97.568,CA-2020-142622,First Class,JK-15625,Jim Karlsson,Consumer,United States,Seattle,Washington,FUR-CH-10003833,Furniture,Novimex Fabric Task Chair
Chairs,West,104.78399999999999,CA-2019-163328,Second Class,TP-21565,Tracy Poddar,Corporate,United States,Eugene,Oregon,FUR-CH-10003298,Furniture,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal"
Chairs,West,108.608,CA-2020-129378,First Class,NS-18505,Neola Schneider,Consumer,United States,San Jose,California,FUR-CH-10000553,Furniture,"Metal Folding Chairs, Beige, 4/Carton"
Chairs,West,112.64800000000001,CA-2017-105270,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Los Angeles,California,FUR-CH-10000988,Furniture,Hon Olson Stacker Stools
Chairs,West,113.56800000000001,CA-2020-117457,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,FUR-CH-10003956,Furniture,Novimex High-Tech Fabric Mesh Task Chair
Chairs,West,113.88800000000002,CA-2019-144092,Second Class,LH-17155,Logan Haushalter,Consumer,United States,San Jose,California,FUR-CH-10004875,Furniture,Harbour Creations 67200 Series Stacking Chairs
Chairs,West,113.88800000000002,CA-2019-159730,Standard Class,SJ-20125,Sanjit Jacobs,Home Office,United States,Seattle,Washington,FUR-CH-10004875,Furniture,Harbour Creations 67200 Series Stacking Chairs
Chairs,West,113.88800000000002,CA-2020-134915,Same Day,EM-14140,Eugene Moren,Home Office,United States,Glendale,Arizona,FUR-CH-10004875,Furniture,Harbour Creations 67200 Series Stacking Chairs
Chairs,West,120.71199999999999,CA-2017-102295,Second Class,EH-13990,Erica Hackney,Consumer,United States,Sacramento,California,FUR-CH-10001714,Furniture,"Global Leather & Oak Executive Chair, Burgundy"
Chairs,West,120.78399999999999,CA-2019-157707,First Class,CC-12610,Corey Catlett,Corporate,United States,Denver,Colorado,FUR-CH-10004853,Furniture,"Global Manager's Adjustable Task Chair, Storm"
Chairs,West,120.78399999999999,CA-2020-112725,Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,San Francisco,California,FUR-CH-10000863,Furniture,Novimex Swivel Fabric Task Chair
Chairs,West,122.13600000000001,US-2020-101784,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,Los Angeles,California,FUR-CH-10001146,Furniture,"Global Task Chair, Black"
Chairs,West,122.352,CA-2017-140403,Same Day,TN-21040,Tanja Norvell,Home Office,United States,Manteca,California,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray"
Chairs,West,122.352,CA-2017-157882,Second Class,AR-10405,Allen Rosenblatt,Corporate,United States,Los Angeles,California,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray"
Chairs,West,122.352,CA-2019-122448,Standard Class,DB-13210,Dean Braden,Consumer,United States,San Francisco,California,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray"
Chairs,West,123.136,CA-2017-131310,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Seattle,Washington,FUR-CH-10001797,Furniture,"Safco Chair Connectors, 6/Carton"
Chairs,West,129.568,US-2017-110674,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Concord,California,FUR-CH-10000225,Furniture,"Global Geo Office Task Chair, Gray"
